region,group,CCC;California Community College;Public,CSU;California State University;Public,UC;University of California;Public,Non-Profit;Private Non-Profit;Private,For Profit;Private For Profit;Private
Northern Sacramento Valley,Socioeconomically Disadvantaged,,,,,
Northern Sacramento Valley,Homeless,,,,,
Northern Sacramento Valley,All,14252,17732,0,0,0
Northern Sacramento Valley,International,219,662,0,0,0
Statewide,African American,146840,19121,5569,11820,44308
Statewide,American Indian or Alaska Native,10039,1118,321,793,1672
Statewide,Asian,282717,74334,67894,25586,15635
Statewide,Filipino,,,,,
Statewide,Hispanic or Latino,965145,180123,53877,47177,61714
Statewide,Race Unknown,57847,21160,4491,20320,23878
Statewide,Pacific Islander,9614,1318,700,1346,2730
Statewide,Two or More Races,89870,21287,11502,10847,8785
Statewide,White,590200,107367,52285,74316,68204
Statewide,Male,1021960,202173,104465,88461,91558
Statewide,Female,1167856,250405,118836,118819,142305
Statewide,English Learners,,,,,
Statewide,Students with Disabilities,,,,,
Statewide,Socioeconomically Disadvantaged,,,,,
Statewide,Migrant,,,,,
Statewide,Foster,,,,,
Statewide,Homeless,,,,,
Statewide,All,2189816,452578,223301,207280,233863
Statewide,International,15075,37544,26750,6937,
