region,group,subgroup,How many people are employed?,How many people are employed divided by two?
Los Angeles,Economic,Rich,0.9005888,0.4502944
Los Angeles,Economic,Upper Income,0.9150641,0.45753205
Los Angeles,Gender,Female,0.7497553,0.37487765
Los Angeles,Gender,Male,0.8805512,0.4402756
North Far North,All,,0.7648064,0.3824032
North Far North,American Indian/Alaska Native,,0.7081794,0.3540897
North Far North,Asian,,0.770714,0.385357
North Far North,Asian,Other Asian,1,0.5
North Far North,Asian,South Asian,0.8060747,0.40303735
North Far North,Asian,Southeast Asian,0.723066,0.361533
North Far North,Native Hawaiian and Other Pacific Islander alone,,0.7439364,0.3719682
North Far North,Some Other Race alone,,0.6892655,0.34463275
North Far North,Two or More Races,,0.810427,0.4052135
North Far North,White alone,,0.7600021,0.38000105
North Far North,Black or African American alone,,0.7662085,0.38310425
North Far North,Latinx,,0.7930716,0.3965358
North Far North,Latinx,Central American,0.8130081,0.40650405
North Far North,Latinx,Cuban,1,0.5
North Far North,Latinx,Mexican,0.7856729,0.39283645
North Far North,Latinx,Other Hispanic,0.8340715,0.41703575
North Far North,Latinx,Puerto Rican,0.5021398,0.2510699
North Far North,Latinx,South American,0.8704454,0.4352227
North Far North,Economic,Lower Income,0.6797414,0.3398707
North Far North,Economic,Middle Income,0.8135055,0.40675275
North Far North,Economic,Poor,0.4542677,0.22713385
North Far North,Economic,Rich,0.8903475,0.44517375
North Far North,Economic,Upper Income,0.8638709,0.43193545
North Far North,Gender,Female,0.7226,0.3613
North Far North,Gender,Male,0.8060614,0.4030307
Northern Sacramento Valley,All,,0.7524677,0.37623385
Northern Sacramento Valley,American Indian/Alaska Native,,0.6105578,0.3052789
Northern Sacramento Valley,Asian,,0.8891699,0.44458495
Northern Sacramento Valley,Asian,Other Asian,1,0.5
Northern Sacramento Valley,Asian,South Asian,0.850365,0.4251825
Northern Sacramento Valley,Asian,Southeast Asian,0.8718692,0.4359346
Northern Sacramento Valley,Native Hawaiian and Other Pacific Islander alone,,1,0.5
Northern Sacramento Valley,Some Other Race alone,,0.9021407,0.45107035
Northern Sacramento Valley,Two or More Races,,0.6267843,0.31339215
Northern Sacramento Valley,White alone,,0.7288398,0.3644199
Northern Sacramento Valley,Black or African American alone,,0.8208916,0.4104458
Northern Sacramento Valley,Latinx,,0.8204533,0.41022665
Northern Sacramento Valley,Latinx,Central American,0.909732,0.454866
Northern Sacramento Valley,Latinx,Cuban,1,0.5
Northern Sacramento Valley,Latinx,Mexican,0.8268762,0.4134381
Northern Sacramento Valley,Latinx,Other Hispanic,0.7364467,0.36822335
Northern Sacramento Valley,Latinx,Puerto Rican,0.7728055,0.38640275
Northern Sacramento Valley,Latinx,South American,1,0.5
Northern Sacramento Valley,Economic,Lower Income,0.5971668,0.2985834
Northern Sacramento Valley,Economic,Middle Income,0.7801672,0.3900836
Northern Sacramento Valley,Economic,Poor,0.5410548,0.2705274
Northern Sacramento Valley,Economic,Rich,0.9293998,0.4646999
Northern Sacramento Valley,Economic,Upper Income,0.865559,0.4327795
Northern Sacramento Valley,Gender,Female,0.7080477,0.35402385
Northern Sacramento Valley,Gender,Male,0.7977476,0.3988738
Orange,All,,0.8330312,0.4165156
Orange,American Indian/Alaska Native,,0.8161907,0.40809535
Orange,Asian,,0.8085111,0.40425555
Orange,Asian,Other Asian,0.8722697,0.43613485
Orange,Asian,South Asian,0.8338062,0.4169031
Orange,Asian,Southeast Asian,0.8371072,0.4185536
Orange,Native Hawaiian and Other Pacific Islander alone,,0.7190014,0.3595007
Orange,Some Other Race alone,,0.9578612,0.4789306
Orange,Two or More Races,,0.8293844,0.4146922
Orange,White alone,,0.8335566,0.4167783
Orange,Black or African American alone,,0.9110268,0.4555134
Orange,Latinx,,0.8453627,0.42268135
Orange,Latinx,Central American,0.9023013,0.45115065
Orange,Latinx,Cuban,0.8285377,0.41426885
Orange,Latinx,Mexican,0.8403839,0.42019195
Orange,Latinx,Other Hispanic,0.8119383,0.40596915
Orange,Latinx,Puerto Rican,0.8693907,0.43469535
Orange,Latinx,South American,0.9011233,0.45056165
Orange,Economic,Lower Income,0.7807121,0.39035605
Orange,Economic,Middle Income,0.8743467,0.43717335
Orange,Economic,Poor,0.6467828,0.3233914
Orange,Economic,Rich,0.8451278,0.4225639
Orange,Economic,Upper Income,0.9081206,0.4540603
Orange,Gender,Female,0.7625417,0.38127085
Orange,Gender,Male,0.9041051,0.45205255
San Diego,All,,0.833726,0.416863
San Diego,American Indian/Alaska Native,,0.7998694,0.3999347
San Diego,Asian,,0.8322787,0.41613935
San Diego,Asian,Other Asian,0.7833948,0.3916974
San Diego,Asian,South Asian,0.8734887,0.43674435
San Diego,Asian,Southeast Asian,0.8568506,0.4284253
San Diego,Native Hawaiian and Other Pacific Islander alone,,0.8505596,0.4252798
San Diego,Some Other Race alone,,0.8965746,0.4482873
San Diego,Two or More Races,,0.8575742,0.4287871
San Diego,White alone,,0.8330044,0.4165022
San Diego,Black or African American alone,,0.8033319,0.40166595
San Diego,Latinx,,0.8376464,0.4188232
San Diego,Latinx,Central American,0.8267515,0.41337575
San Diego,Latinx,Cuban,0.9053827,0.45269135
San Diego,Latinx,Mexican,0.8331127,0.41655635
San Diego,Latinx,Other Hispanic,0.8878996,0.4439498
San Diego,Latinx,Puerto Rican,0.8793774,0.4396887
San Diego,Latinx,South American,0.9007517,0.45037585
San Diego,Economic,Lower Income,0.7610806,0.3805403
San Diego,Economic,Middle Income,0.8834833,0.44174165
San Diego,Economic,Poor,0.6188893,0.30944465
San Diego,Economic,Rich,0.8780259,0.43901295
San Diego,Economic,Upper Income,0.8987128,0.4493564
San Diego,Gender,Female,0.7671161,0.38355805
San Diego,Gender,Male,0.8989791,0.44948955
San Joaquin Valley,All,,0.7679868,0.3839934
San Joaquin Valley,American Indian/Alaska Native,,0.6820406,0.3410203
San Joaquin Valley,Asian,,0.7324761,0.36623805
San Joaquin Valley,Asian,Other Asian,0.8456185,0.42280925
San Joaquin Valley,Asian,South Asian,0.7099864,0.3549932
San Joaquin Valley,Asian,Southeast Asian,0.7321193,0.36605965
San Joaquin Valley,Native Hawaiian and Other Pacific Islander alone,,0.6371285,0.31856425
San Joaquin Valley,Some Other Race alone,,0.8466214,0.4233107
San Joaquin Valley,Two or More Races,,0.7521996,0.3760998
San Joaquin Valley,White alone,,0.7659311,0.38296555
San Joaquin Valley,Black or African American alone,,0.7819498,0.3909749
San Joaquin Valley,Latinx,,0.7759976,0.3879988
San Joaquin Valley,Latinx,Central American,0.8549761,0.42748805
San Joaquin Valley,Latinx,Cuban,0.8304929,0.41524645
San Joaquin Valley,Latinx,Mexican,0.7733971,0.38669855
San Joaquin Valley,Latinx,Other Hispanic,0.7731444,0.3865722
San Joaquin Valley,Latinx,Puerto Rican,0.7470888,0.3735444
San Joaquin Valley,Latinx,South American,0.7989613,0.39948065
San Joaquin Valley,Economic,Lower Income,0.6624705,0.33123525
San Joaquin Valley,Economic,Middle Income,0.8047116,0.4023558
San Joaquin Valley,Economic,Poor,0.5204834,0.2602417
San Joaquin Valley,Economic,Rich,0.884038,0.442019
San Joaquin Valley,Economic,Upper Income,0.8820673,0.44103365
San Joaquin Valley,Gender,Female,0.6819109,0.34095545
San Joaquin Valley,Gender,Male,0.8516747,0.42583735
Statewide,All,,0.8122381,0.40611905
Statewide,American Indian/Alaska Native,,0.698593,0.3492965
Statewide,Asian,,0.820985,0.4104925
Statewide,Asian,Other Asian,0.8634297,0.43171485
Statewide,Asian,South Asian,0.818117,0.4090585
Statewide,Asian,Southeast Asian,0.845414,0.422707
Statewide,Native Hawaiian and Other Pacific Islander alone,,0.8042303,0.40211515
Statewide,Some Other Race alone,,0.834522,0.417261
Statewide,Two or More Races,,0.8260032,0.4130016
Statewide,White alone,,0.8132414,0.4066207
Statewide,Black or African American alone,,0.7870792,0.3935396
Statewide,Latinx,,0.8115395,0.40576975
Statewide,Latinx,Central American,0.8502696,0.4251348
Statewide,Latinx,Cuban,0.8177443,0.40887215
Statewide,Latinx,Mexican,0.8044466,0.4022233
Statewide,Latinx,Other Hispanic,0.8207961,0.41039805
Statewide,Latinx,Puerto Rican,0.82477,0.412385
Statewide,Latinx,South American,0.8533056,0.4266528
Statewide,Economic,Lower Income,0.7397662,0.3698831
Statewide,Economic,Middle Income,0.8529176,0.4264588
Statewide,Economic,Poor,0.5679564,0.2839782
Statewide,Economic,Rich,0.8863822,0.4431911
Statewide,Economic,Upper Income,0.9065119,0.45325595
Statewide,Gender,Female,0.7446454,0.3723227
Statewide,Gender,Male,0.8795451,0.43977255
